Compound_id	PC	loading
putrescine	root_PC3	-0.1178162252519843
xanthine	root_PC3	-0.10070136666879045
3-cyano-L-alanine	root_PC3	-0.10066192225710088
L-lysine	root_PC3	-0.0976051241833615
3-cyano-L-alanine	root_PC3	-0.09651223576945431
pseudouridine	root_PC3	-0.09585420612183253
allantoate	root_PC3	-0.08825257849214835
galactinol	root_PC3	0.08703786948950878
D-gluconate	root_PC3	-0.08682878492134742
L-ornithine	root_PC3	0.08451657913868532
L-tyrosine	root_PC3	-0.0840016046210073
0	root_PC3	0.08362409525727486
N-acetyl-L-ornithine	root_PC3	-0.0827428492534079
raffinose	root_PC3	0.08181315903539443
L-asparagine	root_PC3	-0.07909674596957766
L-isoleucine	root_PC3	-0.07773144050611575
guanine	root_PC3	-0.07698326715624194
gentiobiose	root_PC3	-0.0768564059540765
L-valine	root_PC3	-0.07671430659892868
1-kestotriose	root_PC3	0.07667114655914321
L-methionine	root_PC3	-0.0758546944706351
isocitrate	root_PC3	0.07474940702682528
NA	root_PC3	0.07462016095306352
L-alanine	root_PC3	-0.07402713602185106
sucrose	root_PC3	0.07234409948484828
L-threonate	root_PC3	-0.0685029075704605
L,L-homocystine	root_PC3	-0.06794137215771462
L-leucine	root_PC3	-0.06791688688692864
L-tryptophan	root_PC3	-0.06722226620873459
monodehydroascorbate radical	root_PC3	0.06665641023555179
0	root_PC3	-0.06547149991542316
L-arabinitol	root_PC3	-0.06481584706434648
NA	root_PC3	0.06333630069426896
0	root_PC3	-0.06263844300218872
2-phenylethylamine	root_PC3	-0.06209533481055102
β-D-fructofuranose 6-phosphate	root_PC3	0.061602733815315676
α-D-glucose 6-phosphate	root_PC3	0.061590766842261634
0	root_PC3	0.06061029461580278
L-proline	root_PC3	-0.060446652491974937
0	root_PC3	0.059753007245086066
α-D-ribofuranose	root_PC3	-0.05857383860444221
1D-myo-inositol 4-monophosphate	root_PC3	0.055844978109281115
0	root_PC3	-0.05580153531144167
citrate	root_PC3	0.05501250060889518
L-quinate	root_PC3	0.05333478748408659
0	root_PC3	0.05313716564479319
phosphate	root_PC3	0.0520806074752376
D-glucono-1,5-lactone	root_PC3	-0.05197033760066086
D-hexose 6-phosphate	root_PC3	0.05170051701988426
glycerol	root_PC3	-0.051685797746439575
uracil	root_PC3	-0.051293324906497566
ethanolamine	root_PC3	-0.05035237899922784
